gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
fail,hyper_mps_2026_04_28,debug_complex_np,blimp,resonance_full_normalized,0.5,0.0,0.0,-0.016355708241462708,-0.03981978539377451,-0.33708805590867996,1.0,883532.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
fail,hyper_mps_2026_04_28,debug_complex_np,blimp,phase_stream_only_normalized,0.5,0.0,0.0,-0.016377240419387817,-0.03980155289173126,-0.3369986489415169,1.0,883532.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
partial,hyper_mps_2026_04_28,debug_complex_np,blimp,phase_dynamic_attn,0.5,0.0,0.0,0.006821990013122559,-0.019357466138899326,-0.29962850362062454,1.0,909164.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
fail,hyper_mps_2026_04_28,debug_complex_np,blimp,phase_qk_film,0.515625,0.0,0.015625,-0.013727977871894836,-0.026225670240819454,-0.2680923268198967,1.0,921548.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
fail,hyper_mps_2026_04_28,debug_complex_np,blimp,phase_dynamic_qk_film,0.484375,0.0,-0.015625,-0.005757123231887817,-0.02145306020975113,-0.24201957136392593,1.0,934316.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
fail,hyper_smoke,wh_island_iso,blimp,standard,0.4375,0.0,-0.0625,-0.09532111883163452,-0.15167427621781826,-0.002537459135055542,1.0,376064.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_smoke/wh_island_iso/results.json
fail,hyper_smoke,wh_island_iso,blimp,standard_iso,0.4375,0.0,-0.0625,-0.13834747672080994,-0.1914366539567709,-0.0022676587104797363,1.0,500800.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_smoke/wh_island_iso/results.json
fail,hyper_smoke,wh_island_iso,blimp,resonance_full_normalized,0.5,0.0,0.0,-0.04804837703704834,-0.08755719847977161,-0.0200798362493515,1.0,509256.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_smoke/wh_island_iso/results.json
fail,hyper_smoke,wh_island_iso,blimp,phase_dynamic_mlp,0.5,0.0,0.0,-0.047024667263031006,-0.07260516285896301,-0.07359659671783447,1.0,517768.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_smoke/wh_island_iso/results.json
partial,hyper_smoke,wh_island_variants,blimp,standard,0.578125,0.0,0.078125,0.0014241188764572144,-0.08570546004921198,-0.18408739566802979,1.0,376064.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,resonance_full_normalized,0.5,0.0,0.0,0.02391916513442993,-0.08607398811727762,-0.1392974704504013,1.0,509256.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
